상호명,카테고리,업종,시도,구,latitude,longitude,도로명주소,전화번호,홈페이지,휴무일,오픈시간,주차여부,반려동물전용여부,입장가능종류,제한사항,color
100세약국,반려의료,동물약국,서울특별시,영등포구,37.53325958,126.903741,서울특별시 영등포구 양평로 24,226788217,,"매주 일요일, 법정공휴일","월~금 08:30~21:00, 토 08:30~18:30",N,해당없음,모두 가능,제한사항 없음,purple
100코달리 와인바,반려동물식당카페,카페,서울특별시,중구,37.56330525,127.016417,서울특별시 중구 다산로38길 11,50713466774,http://instagram.com/100caudalie,매주 월요일,화~일 18:00~02:00,Y,해당없음,모두 가능,제한사항 없음,lightgreen
1층메디컬약국,반려의료,동물약국,서울특별시,금천구,37.45304289,126.901712,서울특별시 금천구 시흥대로 214,28911112,,연중무휴,"월~수, 금 09:00~20:00, 목 09:00~20:30, 토 09:00~15:30, 일 09:00~13:30, 법정공휴일 10:00~16:00",Y,해당없음,모두 가능,제한사항 없음,purple
1층이화약국,반려의료,동물약국,서울특별시,성동구,37.5665905,127.024082,서울특별시 성동구 왕십리로 410,7077981281,,매주 일요일,"월, 목 09:00~20:00, 화, 목 09:00~19:00, 수 09:00~18:00, 토 09:00~14:00",Y,해당없음,모두 가능,제한사항 없음,purple
21세기동물병원,반려의료,동물병원,서울특별시,용산구,37.52831582,126.999196,서울특별시 용산구 보광로 46,27496750,https://blog.naver.com/vetsj21,매주 일요일,월~토 09:00~18:00,Y,해당없음,모두 가능,제한사항 없음,orange
21C 세계로약국,반려의료,동물약국,서울특별시,강서구,37.54204619,126.840751,서울특별시 강서구 화곡로 173,226070624,,연중무휴,"월~금 08:30~20:30, 토, 법정공휴일 08:30~20:00, 일 09:30~19:00",N,해당없음,모두 가능,제한사항 없음,purple
24시 강서 젠틀리동물의료센터,반려의료,동물병원,서울특별시,강서구,37.55904001,126.820063,서울특별시 강서구 마곡중앙1로 72,226628111,https://blog.naver.com/gentlelee2020,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 굿케어동물의료센터,반려의료,동물병원,서울특별시,관악구,37.48000009,126.956867,서울특별시 관악구 남부순환로 1861,269562475,https://blog.naver.com/goodcare24,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 글로리 동물병원,반려의료,동물병원,서울특별시,금천구,37.47674386,126.898256,서울특별시 금천구 시흥대로 483,28558575,https://blog.naver.com/gloryamc,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 동물응급의료센터,반려의료,동물병원,서울특별시,중랑구,37.59532179,127.079577,서울특별시 중랑구 망우로 247,24947582,http://royalamc.com/,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 명동물메디컬센터,반려의료,동물병원,서울특별시,구로구,37.50156787,126.847162,서울특별시 구로구 남부순환로 775,226195102,https://blog.naver.com/petsong1472,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 산들산들 동물병원,반려의료,동물병원,서울특별시,마포구,37.55097463,126.956497,서울특별시 마포구 마포대로16길 7,23933588,https://24sdsdah.modoo.at/,연중무휴,"월~금 10:00~24:00, 토~일 10:00~20:00",Y,해당없음,모두 가능,제한사항 없음,orange
24시 서울 탑 동물병원,반려의료,동물병원,서울특별시,양천구,37.51774297,126.853643,서울특별시 양천구 중앙로 237,226018875,https://blog.naver.com/animalhospital-,연중무휴,매일 09:00~21:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 스마트동물병원,반려의료,동물병원,서울특별시,강남구,37.52069647,127.029989,서울특별시 강남구 도산대로 213,25490275,https://blog.naver.com/smart7582,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 시유동물메디컬센터,반려의료,동물병원,서울특별시,용산구,37.52000492,126.969872,서울특별시 용산구 이촌로64길 24,27930075,https://blog.naver.com/seeu_amc,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 신도림S동물의료센터,반려의료,동물병원,서울특별시,구로구,37.50688385,126.884037,서울특별시 구로구 경인로 619-3,269493575,https://blog.naver.com/ssah24,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 안박동물병원,반려의료,동물병원,서울특별시,강서구,37.56011704,126.856339,서울특별시 강서구 양천로 510,236647511,,매주 일요일,월~토 10:00~19:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 애니동물병원,반려의료,동물병원,서울특별시,성북구,37.58399292,127.019824,서울특별시 성북구 보문로 99,29268275,,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 지구촌 동물메디컬 센터,반려의료,동물병원,서울특별시,구로구,37.49878906,126.884786,서울특별시 구로구 구로중앙로31길 30,28697582,https://blog.naver.com/dr_jiguchon,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 청담우리 동물병원,반려의료,동물병원,서울특별시,강남구,37.51449135,127.052853,서울특별시 강남구 삼성로 614,25417515,https://www.chungdamah.co.kr/,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시 SNC 동물메디컬센터,반려의료,동물병원,서울특별시,강남구,37.4974084,127.038878,서울특별시 강남구 논현로 416,25627582,http://blog.naver.com/sncamc,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시루시드동물메디컬센터,반려의료,동물병원,서울특별시,강북구,37.60958992,127.030683,서울특별시 강북구 월계로 3,29417900,http://www.lucidamc.co.kr/,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시센트럴동물메디컬센터,반려의료,동물병원,서울특별시,성동구,37.5586754,127.033737,서울특별시 성동구 고산자로 207,233957975,http://www.xn--24-qp6i57v43be1or8g.com/,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시스마트동물메디컬센터,반려의료,동물병원,서울특별시,은평구,37.59978536,126.918127,서울특별시 은평구 은평로 93,23877582,https://blog.naver.com/eosksh,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시아프리카동물메디컬센터,반려의료,동물병원,서울특별시,강서구,37.55820284,126.844923,서울특별시 강서구 공항대로 335,236657975,http://www.semyungah.com/,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시연동물의료센터,반려의료,동물병원,서울특별시,강서구,37.54293761,126.842277,서울특별시 강서구 화곡로 191,50713267553,https://blog.naver.com/24_yeon,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시예담동물의료센터,반려의료,동물병원,서울특별시,은평구,37.60958089,126.916793,서울특별시 은평구 연서로 122,269527519,https://blog.naver.com/24yedamamc,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
24시예스동물병원,반려의료,동물병원,서울특별시,서초구,37.5071157,127.009873,서울특별시 서초구 잠원로 24,25343475,https://blog.naver.com/numberhana,연중무휴,"월~금 10:50~19:30, 토, 법정공휴일 11:00~18:00",Y,해당없음,모두 가능,제한사항 없음,orange
24시잠실ON동물의료센터,반려의료,동물병원,서울특별시,송파구,37.51156036,127.079181,서울특별시 송파구 올림픽로 76,24180724,http://24onamc.com,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,제한사항 없음,orange
